time,divergence_dt,divergence_dt_half,divergence_dt_quarter
0.2960,1.10599746e-06,1.02443942e-06,1.02443944e-06
0.2970,1.10676787e-06,1.02461190e-06,1.02461192e-06
0.2980,1.10754134e-06,1.02478504e-06,1.02478505e-06
0.2990,1.10831785e-06,1.02495883e-06,1.02495884e-06
0.3000,1.10909742e-06,1.02513327e-06,1.02513329e-06
0.3010,1.10988004e-06,1.02530837e-06,1.02530839e-06
0.3020,1.11066572e-06,1.02548413e-06,1.02548414e-06
0.3030,1.11145446e-06,1.02566054e-06,1.02566056e-06
0.3040,1.11224625e-06,1.02583762e-06,1.02583763e-06
0.3050,1.11304110e-06,1.02601535e-06,1.02601536e-06
0.3060,1.11383901e-06,1.02619373e-06,1.02619375e-06
0.3070,1.11463998e-06,1.02637278e-06,1.02637280e-06
0.3080,1.11544400e-06,1.02655249e-06,1.02655250e-06
0.3090,1.11625109e-06,1.02673286e-06,1.02673287e-06
0.3100,1.11706124e-06,1.02691388e-06,1.02691390e-06
0.3110,1.11787445e-06,1.02709557e-06,1.02709559e-06
0.3120,1.11869072e-06,1.02727792e-06,1.02727793e-06
0.3130,1.11951006e-06,1.02746093e-06,1.02746095e-06
0.3140,1.12033246e-06,1.02764460e-06,1.02764462e-06
0.3150,1.12115792e-06,1.02782894e-06,1.02782896e-06
0.3160,1.12198644e-06,1.02801394e-06,1.02801396e-06
0.3170,1.12281803e-06,1.02819961e-06,1.02819962e-06
0.3180,1.12365268e-06,1.02838593e-06,1.02838595e-06
0.3190,1.12449039e-06,1.02857293e-06,1.02857294e-06
0.3200,1.12533117e-06,1.02876058e-06,1.02876060e-06
0.3210,1.12617501e-06,1.02894891e-06,1.02894892e-06
0.3220,1.12702191e-06,1.02913790e-06,1.02913791e-06
0.3230,1.12787188e-06,1.02932755e-06,1.02932757e-06
0.3240,1.12872492e-06,1.02951788e-06,1.02951790e-06
0.3250,1.12958101e-06,1.02970887e-06,1.02970889e-06
0.3260,1.13044017e-06,1.02990053e-06,1.02990055e-06
0.3270,1.13130239e-06,1.03009286e-06,1.03009288e-06
0.3280,1.13216768e-06,1.03028586e-06,1.03028587e-06
0.3290,1.13303603e-06,1.03047953e-06,1.03047954e-06
0.3300,1.13390744e-06,1.03067386e-06,1.03067388e-06
0.3310,1.13478191e-06,1.03086887e-06,1.03086889e-06
0.3320,1.13565944e-06,1.03106455e-06,1.03106457e-06
0.3330,1.13654004e-06,1.03126090e-06,1.03126092e-06
0.3340,1.13742369e-06,1.03145793e-06,1.03145794e-06
0.3350,1.13831040e-06,1.03165562e-06,1.03165564e-06
0.3360,1.13920018e-06,1.03185399e-06,1.03185401e-06
0.3370,1.14009301e-06,1.03205303e-06,1.03205305e-06
0.3380,1.14098890e-06,1.03225275e-06,1.03225277e-06
0.3390,1.14188784e-06,1.03245314e-06,1.03245316e-06
0.3400,1.14278984e-06,1.03265421e-06,1.03265422e-06
0.3410,1.14369490e-06,1.03285595e-06,1.03285597e-06
0.3420,1.14460301e-06,1.03305837e-06,1.03305838e-06
0.3430,1.14551417e-06,1.03326146e-06,1.03326148e-06
0.3440,1.14642839e-06,1.03346523e-06,1.03346525e-06
0.3450,1.14734565e-06,1.03366968e-06,1.03366969e-06
0.3460,1.14826597e-06,1.03387480e-06,1.03387482e-06
0.3470,1.14918933e-06,1.03408061e-06,1.03408062e-06
0.3480,1.15011574e-06,1.03428709e-06,1.03428711e-06
0.3490,1.15104520e-06,1.03449425e-06,1.03449427e-06
0.3500,1.15197770e-06,1.03470209e-06,1.03470211e-06
0.3510,1.15291325e-06,1.03491062e-06,1.03491063e-06
0.3520,1.15385183e-06,1.03511982e-06,1.03511984e-06
0.3530,1.15479346e-06,1.03532970e-06,1.03532972e-06
0.3540,1.15573813e-06,1.03554027e-06,1.03554029e-06
0.3550,1.15668583e-06,1.03575152e-06,1.03575153e-06
0.3560,1.15763657e-06,1.03596345e-06,1.03596346e-06
0.3570,1.15859034e-06,1.03617606e-06,1.03617608e-06
0.3580,1.15954714e-06,1.03638936e-06,1.03638937e-06
0.3590,1.16050698e-06,1.03660334e-06,1.03660335e-06
0.3600,1.16146984e-06,1.03681800e-06,1.03681802e-06
0.3610,1.16243573e-06,1.03703335e-06,1.03703337e-06
0.3620,1.16340464e-06,1.03724939e-06,1.03724941e-06
0.3630,1.16437657e-06,1.03746611e-06,1.03746613e-06
0.3640,1.16535153e-06,1.03768352e-06,1.03768353e-06
0.3650,1.16632950e-06,1.03790161e-06,1.03790163e-06
0.3660,1.16731049e-06,1.03812039e-06,1.03812041e-06
0.3670,1.16829449e-06,1.03833986e-06,1.03833988e-06
0.3680,1.16928151e-06,1.03856002e-06,1.03856004e-06
0.3690,1.17027153e-06,1.03878087e-06,1.03878088e-06
0.3700,1.17126456e-06,1.03900240e-06,1.03900242e-06
0.3710,1.17226060e-06,1.03922463e-06,1.03922464e-06
0.3720,1.17325963e-06,1.03944754e-06,1.03944756e-06
0.3730,1.17426167e-06,1.03967115e-06,1.03967116e-06
0.3740,1.17526670e-06,1.03989544e-06,1.03989546e-06
0.3750,1.17627472e-06,1.04012043e-06,1.04012045e-06
0.3760,1.17728574e-06,1.04034611e-06,1.04034613e-06
0.3770,1.17829975e-06,1.04057248e-06,1.04057250e-06
0.3780,1.17931674e-06,1.04079955e-06,1.04079957e-06
0.3790,1.18033671e-06,1.04102731e-06,1.04102732e-06
0.3800,1.18135966e-06,1.04125576e-06,1.04125578e-06
0.3810,1.18238559e-06,1.04148490e-06,1.04148492e-06
0.3820,1.18341449e-06,1.04171474e-06,1.04171476e-06
0.3830,1.18444637e-06,1.04194528e-06,1.04194530e-06
0.3840,1.18548121e-06,1.04217651e-06,1.04217653e-06
0.3850,1.18651901e-06,1.04240844e-06,1.04240846e-06
0.3860,1.18755978e-06,1.04264106e-06,1.04264108e-06
0.3870,1.18860350e-06,1.04287438e-06,1.04287440e-06
0.3880,1.18965018e-06,1.04310840e-06,1.04310842e-06
0.3890,1.19069981e-06,1.04334311e-06,1.04334313e-06
0.3900,1.19175239e-06,1.04357853e-06,1.04357855e-06
0.3910,1.19280791e-06,1.04381464e-06,1.04381466e-06
0.3920,1.19386637e-06,1.04405145e-06,1.04405147e-06
0.3930,1.19492777e-06,1.04428896e-06,1.04428898e-06
0.3940,1.19599210e-06,1.04452717e-06,1.04452719e-06
0.3950,1.19705935e-06,1.04476609e-06,1.04476610e-06
0.3960,1.19812954e-06,1.04500570e-06,1.04500572e-06
0.3970,1.19920264e-06,1.04524601e-06,1.04524603e-06
0.3980,1.20027867e-06,1.04548703e-06,1.04548705e-06
0.3990,1.20135760e-06,1.04572875e-06,1.04572876e-06
0.4000,1.20243945e-06,1.04597117e-06,1.04597119e-06
0.4010,1.20352420e-06,1.04621429e-06,1.04621431e-06
0.4020,1.20461185e-06,1.04645812e-06,1.04645814e-06
0.4030,1.20570241e-06,1.04670265e-06,1.04670267e-06
0.4040,1.20679585e-06,1.04694788e-06,1.04694790e-06
0.4050,1.20789218e-06,1.04719382e-06,1.04719384e-06
0.4060,1.20899139e-06,1.04744047e-06,1.04744049e-06
0.4070,1.21009349e-06,1.04768782e-06,1.04768784e-06
0.4080,1.21119846e-06,1.04793588e-06,1.04793590e-06
0.4090,1.21230630e-06,1.04818464e-06,1.04818466e-06
0.4100,1.21341701e-06,1.04843411e-06,1.04843413e-06
0.4110,1.21453058e-06,1.04868429e-06,1.04868431e-06
0.4120,1.21564701e-06,1.04893518e-06,1.04893520e-06
0.4130,1.21676629e-06,1.04918677e-06,1.04918679e-06
0.4140,1.21788841e-06,1.04943908e-06,1.04943910e-06
0.4150,1.21901338e-06,1.04969209e-06,1.04969211e-06
0.4160,1.22014119e-06,1.04994581e-06,1.04994583e-06
0.4170,1.22127183e-06,1.05020025e-06,1.05020027e-06
0.4180,1.22240529e-06,1.05045539e-06,1.05045541e-06
0.4190,1.22354158e-06,1.05071124e-06,1.05071126e-06
0.4200,1.22468069e-06,1.05096781e-06,1.05096783e-06
0.4210,1.22582261e-06,1.05122509e-06,1.05122511e-06
0.4220,1.22696734e-06,1.05148307e-06,1.05148309e-06
0.4230,1.22811486e-06,1.05174178e-06,1.05174180e-06
0.4240,1.22926519e-06,1.05200119e-06,1.05200121e-06
0.4250,1.23041831e-06,1.05226132e-06,1.05226134e-06
0.4260,1.23157421e-06,1.05252216e-06,1.05252218e-06
0.4270,1.23273289e-06,1.05278372e-06,1.05278374e-06
0.4280,1.23389435e-06,1.05304599e-06,1.05304601e-06
0.4290,1.23505858e-06,1.05330897e-06,1.05330899e-06
0.4300,1.23622557e-06,1.05357267e-06,1.05357270e-06
0.4310,1.23739532e-06,1.05383709e-06,1.05383711e-06
0.4320,1.23856782e-06,1.05410223e-06,1.05410225e-06
